Filme,Diretor,Gênero
Era uma vez na América,Sergio Leone,Drama
Memórias do cárcere,Nelson Pereira dos Santos,Drama
Nausicaä do Vale do Vento,Hayao Miyazaki,Animação
O exterminador do futuro,James Cameron,Aventura
Os caça-fantasmas,Ivan Reitman,Comédia
"Paris, Texas",Win Wenders,Drama
Passagem para a Índia,David Lean,Drama
Tudo por uma esmeralda,Robert Zemeckis,Aventura
Jogos de guerra,John Badham,Ficção
O Retorno de Jedi,Richard Marquand,Ficção
Scarface,Brian de Palma,Drama
Videodrome - a síndrome do vídeo,David Cronenberg,Ficção
Zelig,Woody Allen,Comédia
A escolha de Sofia,Allan Pakula,Drama
"Blade Runner, o Caçador de Andróides",Ridley Scott,Ficção
"Conan, o bárbaro",John Milius,Aventura
E.T. o extraterrestre,Steven Spielberg,Ficção
Fanny e Alexandre,Ingmar Bergman,Drama
Gandhi,Richard Attenborough,Drama
Laços de Ternura,James L. Brooks,Drama
O barco: inferno no mar,Wolfgang Petersen,Guerra
O Enigma de Outro Mundo,John Carpenter,Terror
Pink Floyd the wall,Allan Parker,Musical
Quinteto irreverente,Mario Monicelli,Comédia
Tootsie,Sidney Pollack,Comédia
A mulher do tenente francês,Karel Reisz,Drama
Carruagens de Fogo,Hugh Hudson,Drama
Cidade das mulheres,Federico Fellini,Drama
Corpos ardentes,Lawrence Kasdam,Drama
Fuga de Nova York,John Carpenter,Ficção
Mephisto,Istvan Szabó,Drama
Num lago dourado,Mark Rydell,Drama
O destino bate à sua porta 1981,Bob Rafelson,Drama
Reds,Warren Beatty,Drama
Um tiro na noite,Brian de Palma,Suspense
Altantic City,Louis Malle,Drama
Apertem os Cintos... O Piloto Sumiu,Jim Abrahams,Comédia
Calígula,Tinto Brass,Drama
Gente como a gente,Robert Redford,Drama
Kagemusha a sombra do samurai,Akira Kurosawa,Drama
Meu tio da América,Alan Resnais,Comédia
O Homem Elefante,David Lynch,Drama
O iluminado,Stanley Kubrick,Terror
O Império Contra-Ataca,Irvin Kershner,Ficção
Os irmãos cara de pau,John Landis,Musical
Pixote a lei do mais fraco,Héctor Babenco,Drama
Touro indomável,Martin Scorsese,Drama
Vestida para matar,Brian de Palma,Suspense
A Vida de Brian,Terry Jones,Comédia
All that jazz,Bob Fosse,Musical
Apocalypse now,Francis Ford Coppola,Guerra
Bye bye Brasil,Cacá Diegues,Comédia
Fuga de Alcatraz,Don Siegel,Policial
Hair,Milos Forman,Musical
Kramer Versus Kramer,Robert Benton,Drama
Manhattan,Woody Allen,Drama
Stalker,Andrei Tarkovsky,Drama
Tess,Roman Polanski,Drama
A gaiola das loucas,Edouard Molinaro,Comédia
Clube dos cafajestes,John Landis,Comédia
Despertar dos mortos,George Romero,Terror
Grease nos tempos da brilhantina,Randal Kleiser,Musical
Halloween,John Carpenter,Terror
Muito além do jardim,Hal Ashby,Comédia
O expresso da meia noite,Alan Parker,Drama
O Franco Atirador,Michael Cimino,Guerra
Contatos imediatos do terceiro grau,Steven Spielberg,Ficção
Guerra nas estrelas,George Lucas,Ficção
Momento de decisão,Herbert Ross,Drama
"Noivo neurótico, noiva nervosa",Woody Allen,Comédia
Os embalos de sábado a noite,John Badham,Drama
A águia pousou,John Sturges,Guerra
A cruz de ferro,Sam Peckimpah,Guerra
"Carrie, a estranha",Brian de Palma,Terror
Casanova de Felini,Federico Fellini,Comédia
"Feios, sujos e malvados",Etore Scola,Comédia
Rede de intrigas,Sidney Lumet,Drama
"Rocky, um Lutador",John Avildsen,Drama
Saló os cento e vinde dias de Sodoma,Pier Paolo Pasolini,Drama
Taxi driver,Martin Scorsese,Drama
Todos os homens do presidente,Alan Pakula,Drama
Barry Lyndon,Stanley Kubrick,Drama
Monty Python em Busca do Cálice Sagrado,Terry Gilliam,Comédia
Sholay,Ramesh Sippy,Aventura
Tubarão,Steven Spielberg,Aventura
Um dia de cão,Sidney Lumet,Drama
Um estranho no ninho,Milos Forman,Drama
A conversação,Francis Ford Coppola,Drama
Banzé no oeste,Mel Brooks,Comédia
Chinatown,Roman Polanski,Policial
O enigma de Kaspar Hauser,Werner Herzog,Drama
O massacre da serra elétrica,Tobe Hooper,Terror
O poderoso chefão II,Francis Ford Coppola,Drama
A noite americana,François Truffaut,Drama
Amarcord,Federico Fellini,Comédia
American graffiti,George Lucas,Comédia
Estado de sítio,Costa Gravas,Drama
Golpe de mestre,George Roy Hill,Comédia
O dia do chacal,Fred Zinnemann,Policial
O exorcista,William Friedkin,Terror
Papillon,Franklin Shaffner,Drama
Aguirre a cólera dos deuses,Werner Herzog,Drama
Amargo pesadelo,John Boorman,Drama
Cabaret,Bob Fosse,Musical
Gritos e sussurros,Ingmar Bergman,Drama
